dataset,data_location,dataset_extension,metadata_location,metadata_extension
lcs_88,https://maps.gov.scot/ATOM/shapefiles/SG_LandCoverScotland_1988.zip,.zip,https://www.spatialdata.gov.scot/geonetwork/srv/api/records/7dfaf8ce-2123-4eec-8a16-2e85fab7077d/formatters/xml,.xml
lca_250k,https://www.hutton.ac.uk/sites/default/files/files/soils/downloads/Hutton_LCA250K_OpenData.zip,.zip,https://spatialdata.gov.scot/geonetwork/srv/api/records/24c6df5a-6b04-43f8-839f-0d45cc2802e3/formatters/xml,.xml
aitkenhead_19_pd,https://www.hutton.ac.uk/sites/default/files/files/soils/downloads/soil_peat_depth.zip,.zip,,
int_dzs,https://maps.gov.scot/ATOM/shapefiles/SG_IntermediateZoneBdry_2022.zip,.zip,https://spatialdata.gov.scot/geonetwork/srv/api/records/2978ed67-dade-42ec-b8e1-644e0b1f8cd8/formatters/xml,.xml
las, https://geo.spatialhub.scot/geoserver/sh_las/wfs?authkey=b85aa063-d598-4582-8e45-e7e6048718fc&request=GetFeature&service=WFS&version=1.1.0&outputFormat=SHAPE-ZIP&typeName=pub_las,.zip, https://www.spatialdata.gov.scot/geonetwork/srv/api/records/1cd57ea6-8d6e-412b-a9dd-d1c89a80ad62/formatters/xml,.xml
lca, https://www.hutton.ac.uk/sites/default/files/files/soils/downloads/Hutton_LCA250K_OpenData.zip, .zip, https://www.spatialdata.gov.scot/geonetwork/srv/api/records/24c6df5a-6b04-43f8-839f-0d45cc2802e3/formatters/xml,.xml
lltnp, https://maps.gov.scot/ATOM/shapefiles/SG_LochLomondTrossachsNationalPark_2002.zip, .zip, https://www.spatialdata.gov.scot/geonetwork/srv/api/records/21e648e4-d8c7-482d-bb42-985f311f8d19/formatters/xml,.xml
cnp, https://maps.gov.scot/ATOM/shapefiles/SG_CairngormsNationalPark_2010.zip, .zip, https://www.spatialdata.gov.scot/geonetwork/srv/api/records/af0755a1-2841-4d51-8b16-c95fd921908b/formatters/xml,.xml
catchments, http://map.sepa.org.uk/atom/Data/SEPA_CATCHMENTS_BNG_gpkg.zip, .zip, https://www.spatialdata.gov.scot/geonetwork/srv/api/records/b0d75ba7-e221-4d5d-acff-1b5fd6fd4ebd/formatters/xml,.xml
pa_non_spatial,https://services1.arcgis.com/LM9GyVFsughzHdbO/arcgis/rest/services/agol_pa_reported_hectares/FeatureServer/0/query?outFields=*&where=1%3D1,api_non_spat,https://www.arcgis.com/sharing/rest/content/items/02396adbfdbf41509be02803d2fa8301/info/metadata/metadata.xml?format=default&output=xml,.xml
pa_centroids,https://services1.arcgis.com/LM9GyVFsughzHdbO/arcgis/rest/services/agol_pa_site_centroids/FeatureServer/0/query?outFields=*&where=1%3D1,api_vect,https://www.arcgis.com/sharing/rest/content/items/e549c0532fa74c8fa145a0d4daebd550/info/metadata/metadata.xml?format=default&output=xml,.xml
pa_footprints,https://services1.arcgis.com/LM9GyVFsughzHdbO/arcgis/rest/services/agol_pa_site_polygons/FeatureServer/0/query?outFields=*&where=1%3D1,api_vect,https://www.arcgis.com/sharing/rest/content/items/4518ac262e8042e0b08f2358a5c399db/info/metadata/metadata.xml?format=default&output=xml,.xml
